,scenario,m1,m2,pearson_r,pearson_p,spearman_r,spearman_p
58,S3_HighEngagementOnly,lifetime,auc_engaged,-0.2353418711766857,0.21059841560249054,-0.04763492472293338,0.8026162705226569
59,S3_HighEngagementOnly,decay_rate,auc_engaged,-0.33175272547633977,0.07329578028918979,-0.20756395995550608,0.2710674889001301
60,S4_BoostPlusEngagement,viral_reach,peak_engaged,0.7838296580489303,3.0038193809912655e-07,0.7867245844536298,2.535806292224099e-07
61,S4_BoostPlusEngagement,viral_reach,time_to_viral,-0.3320737869064344,0.07300117206848036,-0.2955573673328381,0.11280584404534971
62,S4_BoostPlusEngagement,viral_reach,lifetime,-0.4953429013768719,0.00538200206922034,-0.47561369925888836,0.007898479345929226
63,S4_BoostPlusEngagement,viral_reach,decay_rate,-0.23947198922812846,0.20246863922829025,-0.3357080000681021,0.06972987069443959
64,S4_BoostPlusEngagement,viral_reach,auc_engaged,0.8575509790081082,1.420875040206175e-09,0.876851179083969,2.0957747587200836e-10
65,S4_BoostPlusEngagement,peak_engaged,time_to_viral,-0.2690050858118419,0.15059095589527033,-0.25625896593680497,0.17165676082167572
66,S4_BoostPlusEngagement,peak_engaged,lifetime,-0.574106820365219,0.0009086030692034063,-0.5555403685233576,0.0014376629230114682
67,S4_BoostPlusEngagement,peak_engaged,decay_rate,-0.20097640010745,0.28690664952418043,-0.24908184157201665,0.1843960795690594
68,S4_BoostPlusEngagement,peak_engaged,auc_engaged,0.7769167969685955,4.455733683519971e-07,0.7487196801063889,1.9486668036172846e-06
69,S4_BoostPlusEngagement,time_to_viral,lifetime,0.7668984769386059,7.703735194499866e-07,0.6199688557477899,0.0002581347784122792
70,S4_BoostPlusEngagement,time_to_viral,decay_rate,-0.11689644212642437,0.5384377532973434,-0.2129713448891435,0.25849767837067394
71,S4_BoostPlusEngagement,time_to_viral,auc_engaged,-0.25292165427989044,0.17750066749691795,-0.17252306152797564,0.36194903661143407
72,S4_BoostPlusEngagement,lifetime,decay_rate,-0.003367149409269146,0.9859108977176088,-0.0163503697386255,0.9316612653321581
73,S4_BoostPlusEngagement,lifetime,auc_engaged,-0.4932916300866241,0.005606832609666427,-0.4501260344964102,0.0125632594694833
74,S4_BoostPlusEngagement,decay_rate,auc_engaged,-0.26521707929759897,0.15664640130372892,-0.3536219180000809,0.05523471862099354
75,S5_InfluencerSeed,viral_reach,peak_engaged,0.5651121618291557,0.0011386019364850396,0.6015674696738609,0.00043760630995050737
76,S5_InfluencerSeed,viral_reach,time_to_viral,-0.3962623399409963,0.030172327583749565,-0.41175441024266884,0.02377238187005448
77,S5_InfluencerSeed,viral_reach,lifetime,-0.16833201402121423,0.37390398247751433,-0.18157519166252803,0.33691247594381
78,S5_InfluencerSeed,viral_reach,decay_rate,-0.06984459546032737,0.7138072506282709,0.11492212025371641,0.5453671168951053
79,S5_InfluencerSeed,viral_reach,auc_engaged,0.7340448898895704,3.90179101499088e-06,0.6568280620530015,8.065808292998116e-05
80,S5_InfluencerSeed,peak_engaged,time_to_viral,-0.38676912659653107,0.0347412116162144,-0.40501881098098164,0.02640261601511472
81,S5_InfluencerSeed,peak_engaged,lifetime,0.04738490058638899,0.8036322058390256,0.023235179726913403,0.9029996989630402
82,S5_InfluencerSeed,peak_engaged,decay_rate,0.21943277794076338,0.24398649463949973,0.2550549910889349,0.1737491089464802
83,S5_InfluencerSeed,peak_engaged,auc_engaged,0.49285241527661616,0.005655999335539208,0.6495073720111346,0.00010287116212759368
84,S5_InfluencerSeed,time_to_viral,lifetime,0.31491550917284883,0.09007416167354042,0.07678478999937485,0.6867324255375717
85,S5_InfluencerSeed,time_to_viral,decay_rate,0.11575154477079178,0.5424509606229333,0.07283054377813686,0.7021145291469717
86,S5_InfluencerSeed,time_to_viral,auc_engaged,-0.4027379158728324,0.027345362880720273,-0.3506316681990315,0.05747322302413797
87,S5_InfluencerSeed,lifetime,decay_rate,-0.04859401206652619,0.798722101792686,-0.1564482116765619,0.4090350977516862
88,S5_InfluencerSeed,lifetime,auc_engaged,-0.152791239967914,0.4202074672461227,-0.06711185350413588,0.7245644866813764
89,S5_InfluencerSeed,decay_rate,auc_engaged,-0.18885842774018494,0.3175535586015963,0.023141967640134136,0.9033870260442991
