viral_reach,peak_engaged,peak_tick,time_to_viral,lifetime,decay_rate,auc_engaged,final_fatigued,scenario,seed
0.44,164,8,5,20,-0.06987741382871628,955.0,828,S4_BoostPlusEngagement,1015
0.412,158,7,5,17,-0.05072278601877477,873.0,816,S4_BoostPlusEngagement,1018
0.477,156,6,3,17,-0.031625280243592284,965.0,835,S4_BoostPlusEngagement,1019
0.473,169,7,4,17,-0.15423680803033038,982.0,837,S4_BoostPlusEngagement,1020
0.428,142,7,4,20,-0.06095037455495754,895.0,801,S4_BoostPlusEngagement,1024
0.408,135,8,5,20,-0.08136204221705987,884.0,805,S4_BoostPlusEngagement,1025
0.446,160,7,4,20,-0.167925280764046,909.0,815,S4_BoostPlusEngagement,1021
0.427,145,6,2,17,-0.03725285664863882,840.0,779,S4_BoostPlusEngagement,1022
0.428,155,8,5,20,-0.04815824164055641,946.0,822,S4_BoostPlusEngagement,1023
0.478,178,6,2,17,-0.0745815715357594,961.0,826,S4_BoostPlusEngagement,1027
0.457,177,5,3,17,-0.13714679739174446,941.0,836,S4_BoostPlusEngagement,1028
0.422,148,12,9,25,-0.07199487473771331,842.0,795,S4_BoostPlusEngagement,1026
0.47,166,7,4,20,-0.053478787546491345,873.0,865,S4_BoostPlusEngagement,1029
0.364,24,7,3,239,-0.00926425803169806,699.0,822,S5_InfluencerSeed,1002
0.37,23,7,3,90,-0.010348102416187938,709.0,840,S5_InfluencerSeed,1003
0.415,29,5,2,69,-0.011173670496238651,748.0,855,S5_InfluencerSeed,1000
0.369,19,2,2,103,-0.012565589609126092,660.0,837,S5_InfluencerSeed,1001
0.409,38,4,2,175,-0.012033983788564384,757.0,848,S5_InfluencerSeed,1005
0.398,31,3,2,91,-0.0091449031103988,765.0,866,S5_InfluencerSeed,1004
0.402,23,5,2,143,-0.010344019628799375,735.0,868,S5_InfluencerSeed,1006
0.383,21,7,4,204,-0.00965543940885313,650.0,851,S5_InfluencerSeed,1008
0.381,23,2,2,98,-0.01143091178900987,728.0,845,S5_InfluencerSeed,1007
0.394,24,4,2,76,-0.011265480843995668,741.0,857,S5_InfluencerSeed,1010
0.383,28,1,2,104,-0.010642518973745919,751.0,842,S5_InfluencerSeed,1009
0.406,26,0,2,139,-0.011537706738420075,823.0,834,S5_InfluencerSeed,1012
0.399,26,6,2,47,-0.008499487065176274,757.0,842,S5_InfluencerSeed,1011
0.411,32,2,2,85,-0.009549652698413263,792.0,872,S5_InfluencerSeed,1013
0.385,21,8,3,100,-0.011717409856964667,746.0,837,S5_InfluencerSeed,1014
0.411,21,0,2,69,-0.013527641158614809,754.0,864,S5_InfluencerSeed,1015
0.389,19,3,2,81,-0.011168933440765014,692.0,838,S5_InfluencerSeed,1017
0.399,29,3,3,86,-0.012736853017575083,763.0,852,S5_InfluencerSeed,1016
0.389,26,1,2,143,-0.013018585209244832,704.0,830,S5_InfluencerSeed,1022
0.389,26,2,2,79,-0.011215813557849813,736.0,861,S5_InfluencerSeed,1018
0.381,25,3,2,117,-0.013495947243174398,754.0,841,S5_InfluencerSeed,1019
0.41,27,3,2,115,-0.00923568656560324,786.0,849,S5_InfluencerSeed,1020
0.41,33,3,2,122,-0.009000120718168402,758.0,869,S5_InfluencerSeed,1021
0.403,24,2,2,155,-0.01210449309388842,740.0,842,S5_InfluencerSeed,1023
0.407,29,6,2,99,-0.009913890934813084,759.0,852,S5_InfluencerSeed,1025
0.371,17,2,3,106,-0.014195347628981423,734.0,841,S5_InfluencerSeed,1024
0.407,24,13,3,60,-0.00816502151801568,729.0,844,S5_InfluencerSeed,1027
0.452,30,4,2,136,-0.014869595919871165,874.0,854,S5_InfluencerSeed,1029
0.39,28,2,2,115,-0.01024438533541132,742.0,831,S5_InfluencerSeed,1028
0.405,31,4,2,87,-0.010685671372156395,705.0,829,S5_InfluencerSeed,1026
